evaluation_set,model_a,model_b,metric,n_items,n_excluded_nonoverlap,both_correct,a_only_correct,b_only_correct,both_wrong,p_value_exact,accuracy_a,accuracy_b,accuracy_difference
v1,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,top1,20,0,16,1,0,3,1.0,0.85,0.8,0.04999999999999993
v1,pref-sentseq/lr3e-4-ep40,pref-bt/default,top1,20,0,8,8,1,3,0.0390625,0.8,0.45,0.35000000000000003
v1,pref-sentseq/lr3e-4-ep40,pref-ce/default,top1,20,0,9,7,1,3,0.0703125,0.8,0.5,0.30000000000000004
v1,pref-bt/default,pref-ce/default,top1,20,0,7,2,3,8,1.0,0.45,0.5,-0.04999999999999999
v1,pref-sentseq/lr1e-4-ep20,pref-sentseq/lr1e-4-ep40,top1,20,0,16,0,1,3,1.0,0.8,0.85,-0.04999999999999993
v2b,pref-sentseq/lr3e-4-ep40,pref-bt/default,top1,24,0,15,2,1,6,1.0,0.7083333333333334,0.6666666666666666,0.04166666666666674
v2b,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,top1,24,0,15,0,2,7,0.5,0.625,0.7083333333333334,-0.08333333333333337
v2b,pref-sentseq/lr3e-4-ep40,pref-ce/beyond-para,top1,24,0,7,10,0,7,0.001953125,0.7083333333333334,0.2916666666666667,0.4166666666666667
v2c,pref-sentseq/lr3e-4-ep40,pref-bt/default,top1,24,0,13,4,1,6,0.375,0.7083333333333334,0.5833333333333334,0.125
v2c,pref-sentseq/lr1e-4-ep40,pref-sentseq/lr3e-4-ep40,top1,24,0,15,0,2,7,0.5,0.625,0.7083333333333334,-0.08333333333333337
